timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586200447823,981,HTTP Request GET,200,OK,Grupa wątków 1-1,text,true,,1266,133,2,2,http://ez58211rss.azurewebsites.net/,981,0,383
1586200448743,892,HTTP Request GET,200,OK,Grupa wątków 1-2,text,true,,1266,133,2,2,http://ez58211rss.azurewebsites.net/,892,0,282
1586200449743,1924,HTTP Request GET,200,OK,Grupa wątków 1-3,text,true,,5910,133,4,4,http://ez58211rss.azurewebsites.net/,1924,0,284
1586200448807,3318,HTTP Request SAVE,200,OK,Grupa wątków 1-1,text,true,,6296,409,5,5,https://ez58211rss.azurewebsites.net/,1684,0,1214
1586200448807,1684,HTTP Request SAVE-0,302,Found,Grupa wątków 1-1,text,true,,386,276,5,5,https://ez58211rss.azurewebsites.net/save,1684,0,1214
1586200450492,1633,HTTP Request SAVE-1,200,OK,Grupa wątków 1-1,text,true,,5910,133,5,5,https://ez58211rss.azurewebsites.net/,1633,0,0
1586200450746,2186,HTTP Request GET,200,OK,Grupa wątków 1-4,text,true,,10553,133,6,6,http://ez58211rss.azurewebsites.net/,2186,0,296
1586200449636,3362,HTTP Request SAVE,200,OK,Grupa wątków 1-2,text,true,,10939,409,6,6,https://ez58211rss.azurewebsites.net/,1452,0,872
1586200449636,1452,HTTP Request SAVE-0,302,Found,Grupa wątków 1-2,text,true,,386,276,6,6,https://ez58211rss.azurewebsites.net/save,1452,0,872
1586200451088,1910,HTTP Request SAVE-1,200,OK,Grupa wątków 1-2,text,true,,10553,133,6,6,https://ez58211rss.azurewebsites.net/,1906,0,0
1586200451743,2192,HTTP Request GET,200,OK,Grupa wątków 1-5,text,true,,10553,133,7,7,http://ez58211rss.azurewebsites.net/,2192,0,283
1586200451669,3886,HTTP Request SAVE,200,OK,Grupa wątków 1-3,text,true,,15581,409,8,8,https://ez58211rss.azurewebsites.net/,1312,0,870
1586200451669,1312,HTTP Request SAVE-0,302,Found,Grupa wątków 1-3,text,true,,386,276,8,8,https://ez58211rss.azurewebsites.net/save,1312,0,870
1586200452981,2574,HTTP Request SAVE-1,200,OK,Grupa wątków 1-3,text,true,,15195,133,8,8,https://ez58211rss.azurewebsites.net/,2570,0,0
1586200452742,3143,HTTP Request GET,200,OK,Grupa wątków 1-6,text,true,,15195,133,9,9,http://ez58211rss.azurewebsites.net/,2858,0,282
1586200453742,3789,HTTP Request GET,200,OK,Grupa wątków 1-7,text,true,,19837,133,10,10,http://ez58211rss.azurewebsites.net/,3509,0,287
1586200452933,4801,HTTP Request SAVE,200,OK,Grupa wątków 1-4,text,true,,20223,409,10,10,https://ez58211rss.azurewebsites.net/,1315,0,874
